Facility,per_capita,total_cases,days_infected,per_day,ded_non,field_office,state,contract,operator,weighted_alos,weighted_adp,weighted_min,governor,senate,house,mask_mandate,county,county_pop,county_cases,county_cases_per100K,county_deaths,county_deaths_per100K
washington county jail,1.1013215859030836,6,129,0.046511627906976744,Non-Dedicated,Salt Lake City,Utah,USMS IGA,GOV,7.5760000000000005,5.448,0,Republican,Republican,Republican,83,Washington,177556,0,0,0,0
golden state annex facility,0.19957424161788184,6,87,0.06896551724137931,Dedicated,San Francisco,California,CDF,GOV,19.52,30.064,560,Democratic,Democratic,Democratic,227,Kern,900202,94113,10455,624,69
freeborn county adult detention center,0.08401666890711117,5,121,0.04132231404958678,Non-Dedicated,St. Paul,Minnesota,IGSA,GOV,60.391999999999996,59.512,0,Democratic-Farm-Labor,Republican,Democratic-Farm-Labor,190,Freeborn,30281,2614,8632,23,76
robert a. deyton detention center,0.28216704288939054,5,104,0.04807692307692308,Dedicated,Atlanta,Georgia,USMS CDF,GOV,6.976,17.72,0,Republican,Republican,Republican,0,Clayton,292256,19700,6741,309,106
johnson county law enforcement center,0.0455000455000455,4,162,0.024691358024691357,Non-Dedicated,Dallas,Texas,IGSA,LASALLE,40.752,87.91199999999999,0,Republican,Republican,Republican,212,Johnson,175817,16483,9375,268,152
dodge county jail,0.04670278348589576,4,35,0.11428571428571428,Non-Dedicated,Chicago,Wisconsin,USMS IGA,GOV,29.976,85.648,0,Democratic,Republican,Republican,183,Dodge,87839,11871,13514,165,188
berks family residential center,0.13827433628318583,4,30,0.13333333333333333,Dedicated,Philadelphia,Pennsylvania,FAMILY,GOV,23.776,28.928000000000004,91.67999999999999,Democratic,Republican,Republican,214,Berks,421164,32577,7735,802,190
t. don hutto residential center,0.01485148514851485,3,193,0.015544041450777202,Dedicated,San Antonio,Texas,FAMILY,CORECIVIC,82.608,202,461,Republican,Republican,Republican,212,Williamson,590551,35657,6038,321,54
morgan county detention center,0.08928571428571429,3,50,0.06,Non-Dedicated,Chicago,Missouri,IGSA,GOV,31.688000000000002,33.6,0,Republican,Republican,Republican,0,Morgan,20627,1591,7713,36,175
plymouth county correctional facility,0.017010660013608528,3,17,0.17647058823529413,Non-Dedicated,Boston,Massachusetts,IGSA,GOV,104.99199999999999,176.36,0,Republican,Democratic,Democratic,270,Plymouth,521202,35999,6907,1162,223
charleston county detention center,0.33377837116154874,2,137,0.014598540145985401,Non-Dedicated,Atlanta,South Carolina,USMS IGA,GOV,2.9,5.992,0,Republican,Republican,Republican,0,Charleston,411406,32837,7982,384,93
linn county jail,0.43706293706293703,2,120,0.016666666666666666,Non-Dedicated,St. Paul,Iowa,USMS IGA,GOV,11.032,4.5760000000000005,0,Republican,Republican,Republican,75,Linn,226706,18522,8170,293,129
phelps county jail,0.14400921658986177,2,108,0.018518518518518517,Non-Dedicated,St. Paul,Nebraska,USMS IGA,GOV,41.08,13.888,0,Republican,Republican,None,0,Phelps,9034,871,9641,8,89
sherburne county jail,0.012292260792604976,2,48,0.041666666666666664,Non-Dedicated,St. Paul,Minnesota,IGSA,GOV,88.47999999999999,162.704,192,Democratic-Farm-Labor,Republican,Democratic-Farm-Labor,190,Sherburne,97238,8401,8640,71,73
nobles county jail,2,2,46,0.043478260869565216,Non-Dedicated,St. Paul,Minnesota,IGSA,GOV,48.352000000000004,1,0,Democratic-Farm-Labor,Republican,Democratic-Farm-Labor,190,Nobles,21629,3766,17412,47,217
howard county detention center,0.05863039399624765,2,45,0.044444444444444446,Non-Dedicated,Baltimore,Maryland,IGSA,GOV,70.584,34.112,0,Republican,Democratic,Democratic,291,Howard,325690,14572,4474,204,63
south central regional jail,0.6142506142506142,2,19,0.10526315789473684,Non-Dedicated,Philadelphia,West Virginia,USMS IGA,GOV,7.832000000000001,3.2560000000000002,0,Republican,Republican,Republican,78,Kanawha,178124,11088,6225,263,148
bristol county detention center,0.012140637140637142,1,169,0.005917159763313609,Non-Dedicated,Boston,Massachusetts,IGSA,GOV,179.74399999999997,82.368,0,Republican,Democratic,Democratic,270,Bristol,565217,50261,8892,1341,237
lincoln county detention center,0.3125,1,165,0.006060606060606061,Non-Dedicated,Chicago,Missouri,IGSA,GOV,48.352000000000004,3.2,0,Republican,Republican,Republican,0,Lincoln,59013,4088,6927,24,41
butler county jail,0.00998801438274071,1,29,0.034482758620689655,Non-Dedicated,Detroit,Ohio,IGSA,GOV,47.864000000000004,100.12,0,Republican,Republican,Republican,192,Butler,383134,32348,8443,488,127
kay county detention center,0.014308608058608058,1,114,0.008771929824561403,Non-Dedicated,Dallas,Oklahoma,IGSA,GOV,59.456,69.888,0,Republican,Republican,Republican,0,Kay,43538,4774,10965,58,133
cibola county correctional center,0.029356505401596986,1,113,0.008849557522123894,Non-Dedicated,El Paso,New Mexico,IGSA,CORECIVIC,40.7,34.06400000000001,96,Democratic,Democratic,Democratic,260,Cibola,26675,2592,9717,98,367
worcester county jail,0.01689645850229792,1,93,0.010752688172043012,Non-Dedicated,Baltimore,Maryland,IGSA,GOV,74.792,59.18399999999999,0,Republican,Democratic,Democratic,291,Worcester,52276,3076,5884,78,149
douglas county corrections,0.058247903075489285,1,92,0.010869565217391304,Non-Dedicated,St. Paul,Nebraska,IGSA,CORECIVIC,11.696000000000002,17.168,0,Republican,Republican,None,0,Douglas,571327,61184,10709,572,100
montgomery county jail,0.041652782405864716,1,78,0.01282051282051282,Non-Dedicated,Chicago,Missouri,IGSA,GOV,34.1,24.008,0,Republican,Republican,Republican,0,Montgomery,11551,550,4761,10,87
monroe county jail,0.029212432811404534,1,54,0.018518518518518517,Non-Dedicated,Detroit,Michigan,IGSA,GOV,29.368,34.232,0,Democratic,Republican,Republican,202,Monroe,150500,9168,6092,181,120
cumberland county jail,0.41666666666666663,1,48,0.020833333333333332,Non-Dedicated,Boston,Maine,USMS IGA,GEO,3.3,2.4000000000000004,0,Democratic,Democratic,Democratic,277,Cumberland,295003,11197,3796,156,53
orange county jail,0.011598775169342117,1,12,0.08333333333333333,Non-Dedicated,New York City,New York,IGSA,GOV,91.688,86.21600000000001,0,Democratic,Democratic,Democratic,289,Orange,384940,32239,8375,678,176
hall county sheriff,0,0,0,0,Non-Dedicated,St. Paul,Nebraska,IGSA,GOV,53.744,45.968,0,Republican,Republican,None,0,Hall,61353,6638,10819,105,171
